Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Skills
2013,Bundesliga,Bayern Munich,Franck Ribéry Bayern Munich/31/AM(L) ,Franck Ribéry (2013),30,Midfielder,170,72,18(4),22,18,4,1648,10,10,2,-,2.7,83.8,0.4,8,8.28,null
2013,Bundesliga,Bayern Munich,Thiago Alcántara Bayern Munich/23/DM(C)^M(L) ,Thiago Alcántara (2013),22,Midfielder,174,70,11(5),16,11,5,1007,2,4,1,-,1.3,91.6,0.8,2,7.9,null
2013,Bundesliga,Bayern Munich,Mario Götze Bayern Munich/22/AM(CLR)^FW ,Mario Götze (2013),21,Forward,176,64,20(7),27,20,7,1840,10,8,-,-,1.9,87.9,0.6,4,7.72,null
2013,Bundesliga,Bayern Munich,Arjen Robben Bayern Munich/30/AM(LR)^FW ,Arjen Robben (2013),29,Forward,180,80,20(8),28,20,8,1717,11,6,-,-,2.7,81.8,0.4,4,7.62,null
2013,Bundesliga,Bayern Munich,David Alaba Bayern Munich/22/D(CL)^M(CL) ,David Alaba (2013),21,Defender,180,76,26(2),28,26,2,2401,2,6,-,-,1.7,89.3,1.5,1,7.55,Defending
2013,Bundesliga,Bayern Munich,Javi Martínez Bayern Munich/26/D(C)^M(C) ,Javi Martínez14091 (2013),25,Defender,190,81,14(4),18,14,4,1341,0,-,3,-,0.9,89.5,4.2,1,7.5,Defending
2013,Bundesliga,Bayern Munich,Mario Mandzukic Bayern Munich/28/AM(L)^FW ,Mario Mandzukic (2013),27,Forward,187,84,21(9),30,21,9,2037,18,4,5,-,2.5,72.7,3,1,7.5,Scoring,null
2013,Bundesliga,Bayern Munich,Claudio Pizarro Bayern Munich/36/AM(C)^FW ,Claudio Pizarro (2013),35,Forward,184,84,6(11),17,6,11,706,10,2,-,-,1.4,80.9,0.7,2,7.39,null
2013,Bundesliga,Bayern Munich,Dante Bayern Munich/31/D(C) ,Dante (2013),30,Defender,188,87,27(2),29,27,2,2422,2,1,4,-,0.7,91.4,3.4,-,7.37,null
2013,Bundesliga,Bayern Munich,Thomas Müller Bayern Munich/25/AM(CLR)^FW ,Thomas Müller (2013),24,Forward,186,75,25(6),31,25,6,2183,13,10,2,-,2.3,78.6,1.6,3,7.36,null
2013,Bundesliga,Bayern Munich,Toni Kroos Bayern Munich/24/M(CLR) ,Toni Kroos (2013),23,Midfielder,182,78,24(5),29,24,5,2085,2,4,6,-,1.8,91.9,0.8,-,7.34,null
2013,Bundesliga,Bayern Munich,Bastian Schweinsteiger Bayern Munich/30/M(C) ,Bastian Schweinsteiger (2013),29,Midfielder,183,79,22(1),23,22,1,1841,4,4,4,-,1.3,89.9,2,2,7.32,null
2013,Bundesliga,Bayern Munich,Jerome Boateng Bayern Munich/26/D(CLR) ,Jerome Boateng (2013),25,Defender,192,90,25,25,25,0,2176,1,1,6,1,0.5,87.3,2.8,-,7.28,null
2013,Bundesliga,Bayern Munich,Philipp Lahm Bayern Munich/30/D(LR)^DM(C) ,Philipp Lahm (2013),29,Defender,170,66,25(3),28,25,3,2343,1,4,2,-,0.6,91.7,0.8,-,7.22,null
2013,Bundesliga,Bayern Munich,Xherdan Shaqiri Bayern Munich/23/AM(CLR) ,Xherdan Shaqiri (2013),22,Midfielder,169,72,10(7),17,10,7,800,6,2,-,-,1.7,84.7,0.3,2,7.2,null
2013,Bundesliga,Bayern Munich,Tom Starke Bayern Munich/33/GK ,Tom Starke (2013),32,Keeper,194,98,2,2,2,0,180,0,-,-,-,-,82.7,-,-,7.18,Goalkeeping,null
2013,Bundesliga,Bayern Munich,Daniel van Buyten Bayern Munich/36/D(C) ,Daniel van Buyten (2013),35,Defender,197,96,10(2),12,10,2,926,1,-,3,-,0.5,91.5,4.4,-,7.16,null
2013,Bundesliga,Bayern Munich,Rafinha Bayern Munich/29/D(R)^DM(C)^M(R) ,Rafinha13755 (2013),28,Defender,172,68,25(3),28,25,3,2212,0,7,4,1,0.4,90,0.8,-,7.12,null
2013,Bundesliga,Bayern Munich,Manuel Neuer Bayern Munich/28/GK ,Manuel Neuer (2013),27,Keeper,193,92,31,31,31,0,2746,0,-,-,-,-,88.3,0.5,-,7.05,Goalkeeping,null
2013,Bundesliga,Bayern Munich,Pierre-Emile Höjbjerg Bayern Munich/19/M ,Pierre-Emile Höjbjerg (2013),18,Midfielder,185,84,2(5),7,2,5,289,0,1,-,-,1.4,88.8,0.9,-,6.95,null
2013,Bundesliga,Bayern Munich,Diego Contento Bayern Munich/24/D(L) ,Diego Contento (2013),23,Defender,177,74,6(4),10,6,4,589,0,1,1,-,0.4,83.9,1.5,-,6.92,null
2013,Bundesliga,Bayern Munich,Lukas Raeder Bayern Munich/20/GK ,Lukas Raeder (2013),19,Keeper,194,87,1(1),2,1,1,136,0,1,-,-,-,69.8,-,-,6.86,null
2013,Bundesliga,Bayern Munich,Jan Kirchhoff Bayern Munich/24/D(C)^DM(C) ,Jan Kirchhoff (2013),23,Defender,195,90,0(7),7,0,7,98,0,-,1,-,0.1,94.7,0.3,-,6.58,null
2013,Bundesliga,Bayern Munich,Ylli Sallahi Bayern Munich/20/D ,Ylli Sallahi (2013),19,Defender,176,73,1,1,1,0,52,0,-,-,-,-,78.3,-,-,6.34,null
2013,Bundesliga,Bayern Munich,Mitchell Weiser Bayern Munich/20/M ,Mitchell Weiser (2013),19,Midfielder,176,67,2(1),3,2,1,140,0,-,1,-,-,86.4,1,-,6.32,null
2013,Bundesliga,Borussia Dortmund,Robert Lewandowski Borussia Dortmund/26/AM(C)^FW ,Robert Lewandowski (2013),25,Forward,185,79,31(2),33,31,2,2811,20,6,3,-,3.5,72.3,4.4,7,8,Scoring,null
2013,Bundesliga,Borussia Dortmund,Marco Reus Borussia Dortmund/25/AM(CLR)^FW ,Marco Reus (2013),24,Forward,180,71,26(4),30,26,4,2234,16,13,6,-,3.7,74.7,0.9,5,7.91,Scoring,null
2013,Bundesliga,Borussia Dortmund,Mats Hummels Borussia Dortmund/25/D(C)^DM(C) ,Mats Hummels (2013),24,Defender,191,92,23,23,23,0,1974,2,2,4,1,0.9,81.3,4.8,1,7.69,Defending
2013,Bundesliga,Borussia Dortmund,Henrikh Mkhitaryan Borussia Dortmund/25/M(CR) ,Henrikh Mkhitaryan (2013),24,Midfielder,177,75,29(2),31,29,2,2470,9,10,6,-,2.3,76.7,1.1,3,7.59,null
2013,Bundesliga,Borussia Dortmund,Sokratis Borussia Dortmund/26/D(CR) ,Sokratis (2013),25,Defender,186,85,24(4),28,24,4,2266,1,2,4,1,0.8,81.8,5.8,1,7.54,Defending
2013,Bundesliga,Borussia Dortmund,Nuri Sahin Borussia Dortmund/26/DM(C) ,Nuri Sahin (2013),25,Midfielder,180,73,31(3),34,31,3,2783,2,2,4,-,1.6,79.5,2.5,1,7.47,null
2013,Bundesliga,Borussia Dortmund,Neven Subotic Borussia Dortmund/25/D(C) ,Neven Subotic (2013),24,Defender,191,83,10,10,10,0,828,0,-,1,-,1.1,83.4,3.6,-,7.4,Defending
2013,Bundesliga,Borussia Dortmund,Erik Durm Borussia Dortmund/22/D(L) ,Erik Durm (2013),21,Defender,183,72,14(5),19,14,5,1392,0,-,-,-,0.6,74.2,2.2,1,7.26,null
2013,Bundesliga,Borussia Dortmund,Sebastian Kehl Borussia Dortmund/34/DM(C) ,Sebastian Kehl (2013),33,Midfielder,187,87,12(5),17,12,5,1152,1,1,-,-,0.6,79.9,2.8,1,7.22,null
2013,Bundesliga,Borussia Dortmund,Marcel Schmelzer Borussia Dortmund/26/D(L) ,Marcel Schmelzer (2013),25,Defender,180,74,19,19,19,0,1594,1,3,1,-,0.6,77,1.6,-,7.19,null
2013,Bundesliga,Borussia Dortmund,Manuel Friedrich Borussia Dortmund/35/D(C) ,Manuel Friedrich (2013),34,Defender,189,87,8(3),11,8,3,798,1,-,2,-,0.3,84.7,5.5,-,7.16,null
2013,Bundesliga,Borussia Dortmund,Kevin Großkreutz Borussia Dortmund/26/D(LR)^M(CLR) ,Kevin Großkreutz (2013),25,Defender,186,77,31(2),33,31,2,2810,1,3,3,-,0.9,80.2,1.7,-,7.13,null
2013,Bundesliga,Borussia Dortmund,Sven Bender Borussia Dortmund/25/DM(C) ,Sven Bender (2013),24,Midfielder,186,80,18(1),19,18,1,1389,1,-,2,-,0.7,84,2.5,-,7.13,null
2013,Bundesliga,Borussia Dortmund,Pierre-Emerick Aubameyang Borussia Dortmund/25/AM(LR)^FW ,Pierre-Emerick Aubameyang (2013),24,Forward,187,80,21(11),32,21,11,1987,13,4,1,-,2,68.2,1.1,1,7.06,null
2013,Bundesliga,Borussia Dortmund,Milos Jojic Borussia Dortmund/22/M(C) ,Milos Jojic (2013),21,Midfielder,177,78,4(6),10,4,6,484,4,1,2,-,0.8,76.1,1.4,-,7,null
2013,Bundesliga,Borussia Dortmund,Lukasz Piszczek Borussia Dortmund/29/D(R)^M(R) ,Lukasz Piszczek (2013),28,Defender,184,79,15(4),19,15,4,1406,3,-,-,-,0.8,73,1.9,-,6.98,null
2013,Bundesliga,Borussia Dortmund,Oliver Kirch Borussia Dortmund/32/D(R)^DM(C)^M(R) ,Oliver Kirch (2013),31,Defender,182,75,4(4),8,4,4,467,1,-,1,-,0.8,82.2,0.8,-,6.92,null
2013,Bundesliga,Borussia Dortmund,Ilkay Gündogan Borussia Dortmund/24/M(C) ,Ilkay Gündogan (2013),23,Midfielder,180,80,1,1,1,0,58,0,-,-,-,-,77.8,2,-,6.74,null
2013,Bundesliga,Borussia Dortmund,Jakub Blaszczykowski Borussia Dortmund/28/AM(CR) ,Jakub Blaszczykowski (2013),27,Midfielder,176,77,11(5),16,11,5,800,2,1,-,-,0.9,76,0.5,-,6.7,null
2013,Bundesliga,Borussia Dortmund,Roman Weidenfeller Borussia Dortmund/34/GK ,Roman Weidenfeller (2013),33,Keeper,190,90,30,30,30,0,2700,0,-,1,-,-,68.2,0.6,-,6.6,null
2013,Bundesliga,Borussia Dortmund,Jonas Hofmann Borussia Dortmund/22/AM(R) ,Jonas Hofmann (2013),21,Midfielder,178,72,4(22),26,4,22,717,2,4,1,-,0.5,81.6,0.1,-,6.54,null
